Name,Rating,Status,Opening/Closing Time,Venue Type,Url
Arsen Lüpen Taksim,"4,2 yıldızlı 845 Yorum",Açık,⋅ Kapanış saati: 04:00,Bar,https://www.google.com/maps/place/Arsen+L%C3%BCpen+Taksim/data=!4m7!3m6!1s0x14cab766a667a58d:0x31b7da3dc30fb140!8m2!3d41.036051!4d28.9815663!16s%2Fg%2F11bxd8fw7h!19sChIJjaVnpma3yhQRQLEPwz3atzE?authuser=0&hl=tr&rclk=1
u2 istanbul irish pub,"4,7 yıldızlı 2.399 Yorum",Kapalı,⋅ Açılış saati: 17:00,İrlanda pub'ı,https://www.google.com/maps/place/u2+istanbul+irish+pub/data=!4m7!3m6!1s0x14cab76420a6fab7:0xee9d0dcd9550de34!8m2!3d41.036534!4d28.981911!16s%2Fg%2F1tdst2g1!19sChIJt_qmIGS3yhQRNN5Qlc0Nne4?authuser=0&hl=tr&rclk=1
Ritim Roof (Teras),"4,5 yıldızlı 2.814 Yorum",Açık,⋅ Kapanış zamanı: Per 04:30,Bar,https://www.google.com/maps/place/Ritim+Roof+%28Teras%29/data=!4m7!3m6!1s0x14cab76090330d6b:0x19670e2d7875eff0!8m2!3d41.0347955!4d28.977123!16s%2Fg%2F1tmcv9x_!19sChIJaw0zkGC3yhQR8O91eC0OZxk?authuser=0&hl=tr&rclk=1
Oldies Taksim,"4,1 yıldızlı 358 Yorum",Açık,⋅ Kapanış zamanı: Per 08:00,Bar,https://www.google.com/maps/place/Oldies+Taksim/data=!4m7!3m6!1s0x14cab741003498f3:0x89eca29ee71a1280!8m2!3d41.036242!4d28.981084!16s%2Fg%2F11gxp44q10!19sChIJ85g0AEG3yhQRgBIa556i7Ik?authuser=0&hl=tr&rclk=1
Back Street Club & Rooftop Bar Taksim,"4,7 yıldızlı 2.095 Yorum",Kapalı,⋅ Açılış saati: 16:00,Gece kulübü,https://www.google.com/maps/place/Back+Street+Club+%26+Rooftop+Bar+Taksim/data=!4m7!3m6!1s0x14caa565bad8ada1:0x1da4de09c5c59854!8m2!3d41.0351236!4d28.9769801!16s%2Fg%2F11h75q076g!19sChIJoa3YumWlyhQRVJjFxQnepB0?authuser=0&hl=tr&rclk=1
Irish Pub The James Joyce,"4,4 yıldızlı 2.512 Yorum",Açık,⋅ Kapanış saati: 02:00,İrlanda pub'ı,https://www.google.com/maps/place/Irish+Pub+The+James+Joyce/data=!4m7!3m6!1s0x14cab760dcd8662f:0x7bf3f20167531761!8m2!3d41.0350584!4d28.9784658!16s%2Fg%2F1tfh6w2p!19sChIJL2bY3GC3yhQRYRdTZwHy83s?authuser=0&hl=tr&rclk=1
FredBarİstanbul,"4,7 yıldızlı 1.141 Yorum",Açık,⋅ Kapanış saati: 02:30,Bar,https://www.google.com/maps/place/FredBar%C4%B0stanbul/data=!4m7!3m6!1s0x14cab91651dfb1c1:0x8e0a0671c864f01b!8m2!3d41.0290217!4d28.974219!16s%2Fg%2F11j8mfhpd0!19sChIJwbHfURa5yhQRG_BkyHEGCo4?authuser=0&hl=tr&rclk=1
The Bite Balo,"4,1 yıldızlı 974 Yorum",24 saat açık,⋅ Kapanış saati: 04:00,Canlı Müzik Olan Bar,https://www.google.com/maps/place/The+Bite+Balo/data=!4m7!3m6!1s0x14cab760e592c3a3:0xa58be1a9f8b14e6b!8m2!3d41.034513!4d28.978432!16s%2Fg%2F11f1ym5mdw!19sChIJo8OS5WC3yhQRa06x-Knhi6U?authuser=0&hl=tr&rclk=1
No1 Cocktail Bar,"4,7 yıldızlı 463 Yorum",Açık,⋅ Kapanış saati: 04:00,Kokteyl bar,https://www.google.com/maps/place/No1+Cocktail+Bar/data=!4m7!3m6!1s0x14cab9caedfcdba5:0x25e7a524e256cfc4!8m2!3d41.0296146!4d28.9743674!16s%2Fg%2F11k4swc40k!19sChIJpdv87cq5yhQRxM9W4iSl5yU?authuser=0&hl=tr&rclk=1
Rock N Rolla,"4,2 yıldızlı 1.390 Yorum",Açık,⋅ Kapanış saati: 02:00,Bar,https://www.google.com/maps/place/Rock+N+Rolla/data=!4m7!3m6!1s0x14cab7641f5db989:0xd61e6bb8f4948346!8m2!3d41.0362415!4d28.9817927!16s%2Fg%2F11clycvl_k!19sChIJibldH2S3yhQRRoOU9LhrHtY?authuser=0&hl=tr&rclk=1
Ziba,"4,5 yıldızlı 1.127 Yorum",Açık,⋅ Kapanış saati: 02:00,Pub,https://www.google.com/maps/place/Ziba/data=!4m7!3m6!1s0x14cab76014b50f77:0xa23dc4b50f7d7f9a!8m2!3d41.0327723!4d28.9773007!16s%2Fg%2F11bxg9rhb1!19sChIJdw-1FGC3yhQRmn99D7XEPaI?authuser=0&hl=tr&rclk=1
Kharon Cafe & Bar,"4,3 yıldızlı 484 Yorum",Açık,⋅ Kapanış saati: 02:00,Bar,https://www.google.com/maps/place/Kharon+Cafe+%26+Bar/data=!4m7!3m6!1s0x14cab76156fcd9ef:0x904837d2100fe9ba!8m2!3d41.0348157!4d28.981844!16s%2Fg%2F11c7vvt559!19sChIJ79n8VmG3yhQRuukPENI3SJA?authuser=0&hl=tr&rclk=1
Moretenders’ Cocktail Crib & Sushi,"4,3 yıldızlı 1.130 Yorum",Açık,⋅ Kapanış saati: 03:00,Kokteyl bar,https://www.google.com/maps/place/Moretenders%E2%80%99+Cocktail+Crib+%26+Sushi/data=!4m7!3m6!1s0x14cab9e0ea120e87:0x34f5d657c751f32f!8m2!3d41.0290603!4d28.9744046!16s%2Fg%2F11clvp8rn0!19sChIJhw4S6uC5yhQRL_NRx1fW9TQ?authuser=0&hl=tr&rclk=1
Pera Cafe/Bar,"4,5 yıldızlı 668 Yorum",Açık,⋅ Kapanış saati: 02:00,Bar,https://www.google.com/maps/place/Pera+Cafe%2FBar/data=!4m7!3m6!1s0x14cab7611284bae1:0x3ba92be8f6a26cb8!8m2!3d41.03374!4d28.980539!16s%2Fg%2F11ddxkpzq2!19sChIJ4bqEEmG3yhQRuGyi9ugrqTs?authuser=0&hl=tr&rclk=1
Celtic Irish Pub Istanbul,"4,7 yıldızlı 6.338 Yorum",Açık,⋅ Kapanış saati: 04:00,Pub,https://www.google.com/maps/place/Celtic+Irish+Pub+Istanbul/data=!4m7!3m6!1s0x14cab90058fdeef7:0x9262081b91fe0cff!8m2!3d41.0292315!4d28.9749897!16s%2Fg%2F11j4s326_p!19sChIJ9-79WAC5yhQR_wz-kRsIYpI?authuser=0&hl=tr&rclk=1
